"year","event_id","state","month","event","injuries","deaths","damage","damage_num","damage_mod","begin_loc","end_loc","begin_lat","begin_lon","end_lat","end_lon","county","state_fips","county_fips","damage_cpi","CPI","cpi_adj"
1996,5555933,"Tennessee","May","Flood",0,0,"5K",5,"K","","",NA,NA,NA,NA,"Tipton",47,49,8087.5,100,1.6175
1996,5550170,"South Carolina","May","Flash Flood",0,0,"25K",25,"K","Anderson","Anderson",NA,NA,NA,NA,"Anderson",45,7,40437.5,100,1.6175
1996,5559242,"West Virginia","June","Flash Flood",0,1,".7M",0.7,"M","Northern Half","Northern Half",NA,NA,NA,NA,"Cabell",54,11,1132250,100,1.6175
1996,5559245,"West Virginia","June","Flash Flood",0,0,".25M",0.25,"M","Glenwood","Upland",NA,NA,NA,NA,"Mason",54,53,404375,100,1.6175
1996,5555471,"West Virginia","May","Flash Flood",0,0,"10K",10,"K","Countywide","Countywide",NA,NA,NA,NA,"Fayette",54,19,16175,100,1.6175
1996,5567879,"Kentucky","May","Flash Flood",0,0,"30K",30,"K","Countywide","Countywide",NA,NA,NA,NA,"Lewis",21,135,48525,100,1.6175
1996,5567881,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Gallatin",21,77,8087.5,100,1.6175
1996,5567882,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Mason",21,161,8087.5,100,1.6175
1996,5567883,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Pendleton",21,191,8087.5,100,1.6175
1996,5550219,"Kentucky","June","Flash Flood",0,0,"50K",50,"K","Morehead","Morehead",NA,NA,NA,NA,"Rowan",21,205,80875,100,1.6175
1996,5567728,"Kentucky","May","Flash Flood",0,0,"3K",3,"K","Countywide","Countywide",NA,NA,NA,NA,"Carroll",21,41,4852.5,100,1.6175
1996,5551382,"Tennessee","June","Flash Flood",0,0,"10K",10,"K","Woodbury","Woodbury",NA,NA,NA,NA,"Cannon",47,15,16175,100,1.6175
1996,5562034,"Tennessee","June","Flash Flood",0,0,"2K",2,"K","Oak Ridge","Oak Ridge",NA,NA,NA,NA,"Anderson",47,1,3235,100,1.6175
1996,5562035,"North Carolina","June","Flash Flood",0,0,"2K",2,"K","Murphy","Murphy",NA,NA,NA,NA,"Cherokee",37,39,3235,100,1.6175
1996,5554625,"Alabama","May","Flash Flood",0,0,"15K",15,"K","Bessemer","Bessemer",NA,NA,NA,NA,"Jefferson",1,73,24262.5,100,1.6175
1996,5544503,"West Virginia","January","Flood",0,0,".54M",0.54,"M","","",NA,NA,NA,NA,"Wetzel",54,12,873450,100,1.6175
1996,5558907,"Kentucky","June","Flash Flood",0,0,".5M",0.5,"M","Salyersville","Salyersville",NA,NA,NA,NA,"Magoffin",21,153,808750,100,1.6175
1996,5555089,"West Virginia","May","Flash Flood",0,0,"5K",5,"K","Belington","Belington",NA,NA,NA,NA,"Barbour",54,1,8087.5,100,1.6175
1996,5553943,"Kentucky","May","Flood",0,0,"5K",5,"K","","",NA,NA,NA,NA,"Marshall",21,8,8087.5,100,1.6175
1996,5554025,"Tennessee","May","Flash Flood",0,0,"20K",20,"K","Blountville","Blountville",NA,NA,NA,NA,"Sullivan",47,163,32350,100,1.6175
1996,5555303,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Boyd",21,19,8087.5,100,1.6175
1996,5555304,"Kentucky","May","Flash Flood",0,0,"5K",5,"K","Countywide","Countywide",NA,NA,NA,NA,"Greenup",21,89,8087.5,100,1.6175
1996,5555305,"Kentucky","May","Flash Flood",0,0,"10K",10,"K","Countywide","Countywide",NA,NA,NA,NA,"Carter",21,43,16175,100,1.6175
